urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
76,142,9,5,,B列平均值,157.9617834,,16.39984768,,,
745,83,4,33,,C列平均值,16.9959596,,87.02543103,,,
0,63,15,0,,D列平均值,14.57275542,,99.63098237,,,
127,435,0,42,,,,,,,,
107,0,30,34,,全平均值,82.17078251,90.23956326,,,,
15,10,185,14,,全方差,29771.76334,,,,SST,92679499.29
0,68,20,25,,,,,,,,
62,463,3,8,,39824.89994,,52927292.02,,,,
392,187,22,17,,56111.19428,,26372261.31,,,,
35,768,20,19,,756.3821879,,748061.9838,,,,
451,1192,49,0,,401.9349076,,129423.0402,,,,
92,1909,77,1,,,,,,,,
6,0,20,37,,97094.41131,,80177038.35,,,,
198,51,1,6,,,,,,,,
320,229,19,0,,,,,,,p,0.056397356
96,316,43,0,,,,,,,,4.5929E-99
40,2,38,24,,,,,,,,0.27360643
0,340,9,40,,,,,,,,
25,362,4,11,,,,,,,,
21,85,52,11,,,,,,,,
101,0,7,10,,,,,,,,
0,241,0,16,,,,,,,,
626,45,31,2,,,,,,,,
170,48,4,10,,,,,,,,
340,249,16,11,,,,,,,,
1021,268,9,13,,,,,,,,
555,713,10,17,,,,,,,,
416,11,14,4,,,,,,,,
876,73,195,8,,,,,,,,
7,6,2,0,,,,,,,,
378,13,5,12,,,,,,,,
141,30,3,22,,,,,,,,
335,59,8,5,,,,,,,,
377,154,7,56,,,,,,,,
27,238,9,13,,,,,,,,
164,148,0,41,,,,,,,,
292,286,8,24,,,,,,,,
190,615,3,30,,,,,,,,
143,747,9,23,,,,,,,,
591,85,11,0,,,,,,,,
56,215,9,16,,,,,,,,
350,18,5,1,,,,,,,,
78,112,10,6,,,,,,,,
103,194,17,0,,,,,,,,
0,393,24,2,,,,,,,,
29,331,52,6,,,,,,,,
64,125,1,7,,,,,,,,
113,295,5,0,,,,,,,,
257,0,13,0,,,,,,,,
12,573,4,31,,,,,,,,
88,27,10,14,,,,,,,,
290,391,1,3,,,,,,,,
597,74,30,2,,,,,,,,
68,350,44,15,,,,,,,,
185,257,6,1,,,,,,,,
243,26,8,56,,,,,,,,
25,94,2,4,,,,,,,,
0,302,1,9,,,,,,,,
55,5,1,13,,,,,,,,
38,94,9,12,,,,,,,,
107,96,39,11,,,,,,,,
75,1013,4,12,,,,,,,,
0,173,45,0,,,,,,,,
193,49,0,8,,,,,,,,
162,582,8,0,,,,,,,,
71,124,11,41,,,,,,,,
6,22,18,3,,,,,,,,
42,244,0,2,,,,,,,,
338,112,43,4,,,,,,,,
0,118,13,57,,,,,,,,
15,3,12,29,,,,,,,,
146,176,4,4,,,,,,,,
58,7,113,11,,,,,,,,
70,176,18,3,,,,,,,,
71,16,53,5,,,,,,,,
15,40,0,20,,,,,,,,
127,11,133,21,,,,,,,,
86,33,10,38,,,,,,,,
0,56,8,9,,,,,,,,
314,477,7,4,,,,,,,,
129,7,70,25,,,,,,,,
8,38,3,26,,,,,,,,
237,86,24,2,,,,,,,,
560,326,54,0,,,,,,,,
69,0,0,19,,,,,,,,
601,70,0,7,,,,,,,,
359,247,13,13,,,,,,,,
645,3,4,1,,,,,,,,
8,273,28,0,,,,,,,,
99,767,26,22,,,,,,,,
0,725,24,3,,,,,,,,
67,497,1,1,,,,,,,,
1073,183,185,24,,,,,,,,
107,239,4,4,,,,,,,,
57,0,9,10,,,,,,,,
716,972,49,3,,,,,,,,
422,501,12,0,,,,,,,,
473,142,136,3,,,,,,,,
452,778,17,36,,,,,,,,
130,234,47,2,,,,,,,,
109,13,9,0,,,,,,,,
207,483,0,25,,,,,,,,
191,188,55,7,,,,,,,,
0,0,23,0,,,,,,,,
51,975,149,19,,,,,,,,
567,0,17,7,,,,,,,,
0,178,32,23,,,,,,,,
95,808,38,40,,,,,,,,
180,14,15,0,,,,,,,,
259,168,21,9,,,,,,,,
185,326,48,136,,,,,,,,
423,694,0,25,,,,,,,,
0,161,22,9,,,,,,,,
67,1,62,37,,,,,,,,
134,420,3,26,,,,,,,,
89,0,14,29,,,,,,,,
149,227,1,4,,,,,,,,
248,543,0,38,,,,,,,,
607,431,1,19,,,,,,,,
0,4,7,30,,,,,,,,
140,31,35,0,,,,,,,,
227,48,18,48,,,,,,,,
288,453,6,6,,,,,,,,
0,43,68,7,,,,,,,,
187,10,22,7,,,,,,,,
152,20,8,22,,,,,,,,
39,100,4,7,,,,,,,,
328,45,0,13,,,,,,,,
0,0,12,29,,,,,,,,
326,125,12,5,,,,,,,,
51,326,6,4,,,,,,,,
1279,158,8,16,,,,,,,,
238,234,1,4,,,,,,,,
412,5,0,23,,,,,,,,
212,0,5,2,,,,,,,,
3,28,2,19,,,,,,,,
170,1,0,2,,,,,,,,
0,48,1,29,,,,,,,,
255,0,35,3,,,,,,,,
212,88,0,22,,,,,,,,
239,172,9,1,,,,,,,,
178,13,11,0,,,,,,,,
0,33,4,12,,,,,,,,
186,56,4,5,,,,,,,,
188,272,4,35,,,,,,,,
0,186,26,34,,,,,,,,
77,97,13,8,,,,,,,,
373,63,4,0,,,,,,,,
211,94,3,2,,,,,,,,
397,80,13,1,,,,,,,,
103,41,7,0,,,,,,,,
97,172,1,2,,,,,,,,
347,64,21,9,,,,,,,,
256,37,38,7,,,,,,,,
80,92,1,0,,,,,,,,
241,33,4,12,,,,,,,,
107,35,1,1,,,,,,,,
405,35,0,0,,,,,,,,
409,36,0,8,,,,,,,,
336,1,14,5,,,,,,,,
220,277,2,0,,,,,,,,
0,338,12,69,,,,,,,,
64,15,0,9,,,,,,,,
393,218,33,4,,,,,,,,
0,202,0,12,,,,,,,,
254,48,0,13,,,,,,,,
191,237,8,10,,,,,,,,
187,1,4,2,,,,,,,,
179,2,9,4,,,,,,,,
335,461,5,1,,,,,,,,
37,103,0,6,,,,,,,,
0,2,2,2,,,,,,,,
304,13,1,4,,,,,,,,
169,121,5,3,,,,,,,,
757,262,3,13,,,,,,,,
756,0,6,5,,,,,,,,
74,19,1,4,,,,,,,,
90,102,13,1,,,,,,,,
5,87,3,5,,,,,,,,
0,15,31,1,,,,,,,,
49,166,0,6,,,,,,,,
27,3,7,6,,,,,,,,
620,6,3,0,,,,,,,,
83,66,0,3,,,,,,,,
126,147,14,4,,,,,,,,
106,57,1,3,,,,,,,,
343,65,1,0,,,,,,,,
31,149,6,0,,,,,,,,
286,55,0,5,,,,,,,,
153,93,4,0,,,,,,,,
157,243,4,31,,,,,,,,
53,0,1,0,,,,,,,,
268,0,3,5,,,,,,,,
99,1,31,3,,,,,,,,
13,128,7,1,,,,,,,,
181,0,5,0,,,,,,,,
474,188,0,18,,,,,,,,
13,47,32,3,,,,,,,,
197,371,5,11,,,,,,,,
2,260,16,1,,,,,,,,
0,392,10,8,,,,,,,,
15,260,2,3,,,,,,,,
0,45,1,14,,,,,,,,
132,0,7,4,,,,,,,,
9,0,2,3,,,,,,,,
56,125,4,72,,,,,,,,
516,54,57,5,,,,,,,,
257,12,14,4,,,,,,,,
49,81,14,1,,,,,,,,
235,30,5,3,,,,,,,,
325,0,11,3,,,,,,,,
34,26,1,7,,,,,,,,
127,96,11,7,,,,,,,,
123,42,0,0,,,,,,,,
127,17,0,13,,,,,,,,
232,97,9,5,,,,,,,,
192,186,5,0,,,,,,,,
111,0,71,30,,,,,,,,
126,159,20,20,,,,,,,,
305,0,2,12,,,,,,,,
0,122,7,71,,,,,,,,
6,75,3,13,,,,,,,,
77,239,25,0,,,,,,,,
386,283,2,60,,,,,,,,
275,257,3,6,,,,,,,,
0,510,24,16,,,,,,,,
85,698,2,29,,,,,,,,
47,1265,2,41,,,,,,,,
336,39,0,25,,,,,,,,
0,462,3,39,,,,,,,,
131,1,4,2,,,,,,,,
172,62,3,4,,,,,,,,
92,0,11,8,,,,,,,,
60,0,3,9,,,,,,,,
188,438,0,79,,,,,,,,
0,262,1,62,,,,,,,,
0,97,14,54,,,,,,,,
195,68,5,6,,,,,,,,
130,22,6,13,,,,,,,,
28,59,10,0,,,,,,,,
305,81,4,3,,,,,,,,
0,32,1,29,,,,,,,,
0,53,16,2,,,,,,,,
